pid,pos_title,company_name,pos_summary,pos_start_month,pos_start_year,pos_end_month,pos_end_year,location
222,Visiting Lecturer,Tufts University,"• Invited to design my own undergraduate course on the Grimms’ Fairy Tales
• One semester of lectures, twice a week for two hours each session",09,2008,01,2009,"Medford, MA"
222,Intern,BMW Foundation Herbert Quandt,"• Researched Arab-German cultural and educational exchange for the director’s introductory speech at the 2005 “Trialogue of Cultures” conference, and helped in all aspects of organizing that conference.
• Translated the company’s 85-page anniversary statement of purpose from Germa... See more",07,2005,09,2005,"Bad Homburg von der Hoehe, Germany"
222,Intern,"Fashion History Department, Berlin Stadtmuseum","• Helped inventory and preserve museum exhibits; participated in meetings to plan museum presentations.
• Translated museum documents from German to English for visiting international scholars.",06,2002,09,2002,"Berlin, Germany"
223,PhD Candidate,Carnegie Mellon University,"• Collaborator on research statistically investigating training bias in neurosurgical research and practice.
• Teaching Assistant for Ethics and Policy Issues in Computing in 2013. Invited to guest lecture for this course on ethical issues in big data in 2013, 2014, and 2015.
• Expected PhD completion date: Dec 2019.",08,2013,13,9999,
223,Data Scientist,Clover Health,,01,2018,03,2019,San Francisco Bay Area
223,Senior Statistician,UPMC Health Plan,"• Measured, analyzed, and modeled trends in 30-day hospital readmissions (Plan All-Cause Readmissions) in R.
• Investigated trends and variances and developed prescriptive analytics for preventive care outcomes at the member, practice, and regional levels.... See more",02,2011,06,2015,Greater Pittsburgh Area
223,Research Assistant,Carnegie Mellon University,"• Statistically modeled user activity on social question and answer forums using Python.
• Collaborator on research projects testing confidentiality of publicly released clinical trial data and anonymized Facebook datasets.
... See more",08,2007,08,2010,Greater Pittsburgh Area
229,Director of Product Management,Geocaching HQ,"Thrilled to have started my adventure at Geocaching HQ! At Geocaching HQ, we support the global community that plays the game of geocaching. Our goal is to make everyone an explorer and every location an adventure.",12,2018,13,9999,
229,Associate Professor,City University of Seattle,I'm delighted to join City University of Seattle as Associate Professor in the School of Business. Sharing my commitment to leadership principles and business strategy with students in the MBA foundation courses is a dream come true!,06,2018,13,9999,Greater Seattle Area
229,Director of Product Management,Zonar Systems,,05,2017,11,2018,Greater Seattle Area
229,Director of Product Management,Blastworks Inc.,"● Full-lifecycle agile product manager driving product/feature definition; roadmap/backlog prioritization; product launch and go-to-market plans; live operations; product lifecycle management.
● Lead a team of 9 product managers and game producers, providing mentorship, ... See more",02,2015,04,2017,Greater Seattle Area
229,"Senior Program Manager, GameHouse Mobile Publishing",GameHouse,"● Designed and led a scalable 3rd party mobile publishing operation that delivered over 30 mobile apps to the iTunes, Google Play and Amazon app stores.
● Coordinated Creative, Marketing, Development, QA and Submissions activities on mobile app submissions which reduced submission time from 1 week to 1 day.... See more",12,2012,02,2015,Greater Seattle Area
229,Technical Program Manager,RealNetworks,"● Translated business requests into detailed use cases and functional requirements and measured solution effectiveness with the users.
● Designed Cisco telephony and Oracle CRM solutions to support business strategy, meet operational and financial objectives.... See more",02,2009,11,2012,Greater Seattle Area
229,Product Manager,RealNetworks,"● Defined and managed feature roadmap on the Rhapsody MP3 store to meet business and revenue objectives and drive product stability and scalability.
● Collaborated with cross functional teams to ensure product and feature requirements were met.... See more",09,2007,01,2009,Greater Seattle Area
229,Sr. Quality Assurance Manager,RealNetworks,"● Reorganized client QA team and launched aggressive re-skilling program to increase productivity, enhance team development and achieve low attrition rates.
● Improved the software release process and cut escalation time by 50% through cross-functional coordination with product managers, customer support and engin... See more",12,2006,09,2007,
229,Quality Assurance manager,RealNetworks,"● Built a team of 20 - 25 QA engineers responsible for testing multiple simultaneous deliverables.
● Improved QA process, reducing time to execute regression passes and increase “dot” release quality.... See more",03,2004,12,2006,
229,Quality Assurance Manager,Macromedia,"● Increased client automation across core features, reducing time to execute Smoke and full test passes.
● Built a porting lab into the test process, improving the developer upgrade rate and surfacing complex compatibility issues earlier in the development cycle.... See more",09,2002,02,2004,San Francisco Bay Area
229,Quality Assurance Engineer,Macromedia Incorporated,"● White box tester on Director developer SDK, responsible for packaging, documenting and “productizing” the SDK, leading to better adoption and reduced support overhead for development team.
● Lead tester on 1.0 messaging app, created and ran hundreds of test scripts in aut... See more",09,1999,08,2002,San Francisco Bay Area
229,Customer Support Team Lead,Macromedia Incorporated,"● Led customer/technical support team, reducing average handle times and mean time to resolution.
● Wrote over 60 tech support articles for customer self-help portal, reducing support volume.
● Answered over 5000 support phone contacts with excellent single-contact resol... See more",06,1998,08,1999,San Francisco Bay Area
231,Assistant,Kumon,"Kumon has its own computer software which is the Center Management System (CMS). I managed to learn the system within two days of working there and ever since have been :
1. Enrolling new students and entering their personal information into the system.
2. Handling confidential student information.
3. Generating lesson plans for students.
4. Entering their grades into the system.
5. Speaking to the parents and helping them understand their child's weaknesses and strengths.... See more",07,2012,13,9999,
231,Work Experience,Optus,Worked under the guidance of the Commercials Manager and helped him select people for a prestigious program- Altitude. Altitude is a rewards program for those who did well in their sales buckets retaining a 75% or higher in each bucket. They get the opportunity to visit a place overseas where they are given awards and given training on new products.... See more,00,0000,00,0000,"Sydney Area, Australia"
231,VP Social Media,The National Society of Collegiate Scholars,"Update Chapter Facebook page.
Publicize Chapter events.
Upload latest event pictures.
Communicate with Coordinators for information on newer events.... See more",08,2013,12,2013,Oakland
231,Peer Tutor,Mills College,"Tutored Economics, and Microeconomics, Macroeconomics and International Trade for Professor Dave's classes.",09,2012,12,2013,
233,Quality Assurance,Baxalta US,,07,2015,02,2016,
233,QA Associate II,Baxter International Inc.,,10,1996,07,2015,
233,Assistant to the Director,National Center for Science Education,,00,1991,00,1996,
237,Software Development Engineer II,"Expedia, Inc.",,10,2017,13,9999,San Francisco Bay Area
237,Senior Systems Engineer,ManTech International Corporation,"Primary resource for modern front-end web frameworks.
Designed and developed a microservice-oriented architecture practicing acceptance test driven development to unify and replace legacy applications built on multiple frameworks.
Implemented an OAuth access/refresh token architecture to provide secure statele... See more",12,2016,10,2017,"Baltimore, Maryland Area"
237,Software Engineer II,"Edaptive Systems, LLC","Primary resource for modern front-end web frameworks.
Designed and developed a microservice-oriented architecture practicing acceptance test driven development to unify and replace legacy applications built on multiple frameworks.
Implemented an OAuth access/refresh token architecture to provide secure statele... See more",05,2014,12,2016,"Owings Mills, MD"
237,UX Architect,iAdeptive Technologies LLC,Built the Orion Malls website in AngularJS with a Node.js backend. Matched provided wireframes with responsive design.,09,2015,10,2015,"Ellicott City, MD"
237,Software Engineer,Leviathan Interactive LLC,"Advised and implemented projects with the Unity3D engine; built systems included interfaces, AI, animations, and cameras.",01,2014,04,2014,
237,Software Engineer,Leviathan Interactive LLC,"Developed an action-rpg for Leviathan Interactive which included systems of combat, camera, AI, UI, and animation. The project was well received at E3 2013.",03,2013,07,2013,
237,Bookseller,Barnes and Noble,,06,2006,04,2013,"Omaha, Seattle, and Emeryville"
238,Non-Financial Risk Project Lead,Deutsche Bank,,05,2017,13,9999,"London, United Kingdom"
238,Project Manager / Business Analyst,Deutsche Bank,"• Conducted front to back reengineering program for the Equity swap trading business. Managed multiple workstreams that include clean up of index reference data, implementing real time trade capture, integrating new analytics model and delivered accurate risk and PNL reporting to all downstream corporate and regulatory feeds.... See more",09,2014,05,2017,"London, United Kingdom"
238,Prime Finance PM/BA,HSBC,"Contract position
• Investigated the root caused of instrument and market data issues related to in-house SBL and Prime Brokerage platforms. Proposed the technical solutions to automate issue resolution process. The technology automation will act as enabler to drive the target operatin... See more",10,2012,06,2014,"London, United Kingdom"
238,Executive Director,JPMorgan,"Product Development Specialist for EDG Delta One
• Led technology and operation teams to complete multiple years reengineering program to support flow trading of index swap product. Built a well-rounded relationship across technology, operations, finance and corporate risk groups. Continued to improve e... See more",02,2009,07,2012,"London, United Kingdom"
238,Executive Director,JPMorgan,"Business Technologist for Global Delta One•
• Start-up a comprehensive end-to-end support strategy for the growing Delta one trading business. Developed a new global business-aligned team of 14 to support trading in London, New York and Hong Kong. Responsible for the technology agenda and budget for t... See more",11,2007,02,2009,"London, United Kingdom"
238,Executive Director,JPMorgan,"Business Technologist for EMEA Global Emerging Markets
• Promoted to run the GEM technology after the successful delivery for the Credit business. In charge of IB technology teams in the London, Moscow, Turkey and South Africa franchises. Responsible for the technology agenda and budget for the business.... See more",11,2005,11,2007,"London, United Kingdom"
238,Vice President,JP Morgan,"Vice President - Program Manager for Credit business
• Program Manager in EMEA Credit Market Technology responsible for implementing new products and business initiatives. Delivery included new platform creation for Principal Finance unit in Frankfurt to manage non-performance loan, built out the Credit and Rate str... See more",02,2003,11,2005,London/New York
238,Vice President - Senior Architect,J.P. Morgan,"Vice President - Senior Architect for Global Markets (New York, London)
• Senior application and business architect for Investment Bank technology. Worked on projects across different line of businesses. Led multiple process and application re-engineering programs for Rates, Credit and Equity businesses. Delivered results... See more",05,1996,02,2003,New York / London
238,Assistant Vice President,Citibank N.A.,"- Database Architect for Private Banking (New York)
- Database Architect for Global Finance (Florida, Texas, New York)
- Analyst Programmer in Global Finance (Hong Kong)",05,1991,04,1996,Hong Kong / Florida / Texas / New York
238,Developer and Support,Oracle,"- Pre- and post-sales Technical Support (Hong Kong)
- Software Development Specialist (California, Hong Kong)",07,1988,04,1990,California / Hong Kong
239,Marketing Specialist,MBH Architects,,01,2018,13,9999,
239,Marketing Coordinator,MBH Architects,,05,2015,13,9999,"Alameda, CA"
239,Administrative Assistant,MBH Architects,,09,2014,04,2015,"Alameda, CA"
239,Production Assistant Intern,kaboom productions,,08,2014,11,2014,San Francisco Bay Area
239,Front desk attendant,Horatio's,,09,2011,09,2014,
242,Asst Vice-President of Software Quality Assurance,LPL,"Heading LPL Financial's Software Quality Assurance Dept. of 50+ Quality Engineers, including an offshore team in Brazil",07,2010,13,9999,
242,Software Quality and User Experience Expert,Biomatrica,,11,2008,13,9999,
242,Vice-President,Indian Biathlon Association,,08,2008,13,9999,
242,International Commissioner,Indian Ice-Hockey Association,,08,2008,13,9999,
242,"Sr. Quality Engineering Manager, TurboTax",Intuit,,07,2007,08,2008,
242,QA Manager,Intuit,,12,2003,06,2007,
242,Sr. QA Engineer,iPrint,,00,2001,00,2003,
244,"Director of Content, Destinations",Travelzoo,Led operational and production functions for the fastest growing vertical in the company. Worked with governmental tourism agencies in six countries and nine U.S. regions to maximize their brand exposure and increase global tourism to their destinations.,07,2014,11,2015,"Mountain View, CA"
244,Director of Vacation Content,Travelzoo,Directly managed 25% of Travelzoo's North American yearly revenue ($16M+). Worked with U.S. and Canadian vacation packagers to develop compelling vacation deals for consumers. Developed new content channel leading to onboarding new advertisers and incremental annual revenue.... See more,05,2008,07,2014,"Mountain View, CA"
244,Senior Producer,Travelzoo,Consulted with deal partners and internal stakeholders on content and revenue opportunities.,06,2005,05,2008,"Mountain View, CA"
244,Producer,Travelzoo,"Served as a content and account manager on high-profile clients such as Pleasant Holidays, Singapore Airlines, and MGM Resorts on creating compelling deal content.",04,2002,06,2005,"Mountain View, CA"
244,Contractor,"eBay, Inc.",Accountable for scheduling content for over 160 home page placements weekly.,09,2001,12,2001,"Campbell, CA"
244,Sr. Manager Community Development,"Telleo, Inc.",Generated sustained community participation on OurBlock.com.,06,2000,03,2001,"San Jose, CA"
244,"Producer, Marketing Services / Promotions Manager",Excite,"Created high-profile events that supported large-scale, long-term marketing initiatives.",07,1998,06,2000,"Redwood City, CA"
244,"Manager, Marketing Services","Excite, Inc.",Provided project and production support to corporate marketing and the sales organizations.,12,1995,07,1998,"Mountain View, CA"
248,Software Engineer II,Credit Karma,"Client Infrastructure - GraphQL
• Actively participate in the design, implementation, and addition of new GraphQL server features
• Partnering with frontend and backend engineering teams to migrate REST APIs to GraphQL
• Managing GraphQL codebase reviews and execute bi-weekly release",01,2017,13,9999,San Francisco Bay Area
248,Director of Instruction,MotherCoders,"MotherCoders is a non-profit social enterprise that's working to create a more inclusive digital economy. It is a tech training program aimed to expand the tech talent pool with women who can help companies drive economic growth and innovation. Through a part-time program, it is designed and developed to include on-site childcare. MotherCoders helps moms g... See more",08,2016,11,2016,San Francisco
248,Software Engineer,ConnectSolutions Inc.,"• Frontend with JavaScript in Backbone, HTML, and CSS
• Backend web/micro services with Java and Node
• Implemented customer funded web service in Java for SLA calculations for complex reporting system... See more",03,2013,03,2016,San Francisco Bay Area
248,Research Intern,Stanford University,"• Contributed to the data collection of the Android Malware Auditor Project by writing a web crawler in Java to collect 1000 Android apps
• Learned how to use the STatic Analysis of Mobile Programs (STAMP) software for program analysis... See more",06,2012,08,2012,"Stanford, California"
248,Java Senior Teaching Assistant,Mills College,"• Assisted students design interfaces and construct computer programs using object oriented programming techniques with the Java programming language
• Improved students’ problem solving skills through problem decomposition and writing simple algorithms... See more",08,2010,05,2012,"Oakland, CA"
248,Financial Accounting Senior Teaching Assistant,Mills College,"• Enhanced students’ understanding of accounting principles by translating and simplifying concepts
• Administered excel workshops to train students about useful accounting excel functionalities
• Guided students identify errors in case studies involving financial statement analy... See more",08,2010,05,2012,"Oakland, CA"
248,Summer Scholar Research Intern,National Science Foundation,"• Designed and implemented research to obtain qualitative and quantitative information to evaluate the effectiveness and diversity of the Computer & Information Science & Engineering’s (CISE) Research Experience for Undergraduate (REU) program
• Extracted and analyzed data from proposals, annual and final reports, and REU p... See more",06,2011,08,2011,"Arlington, VA"
248,Summer Legal Intern,Hawaii Attorney General,"• Researched different tort and civil rights cases to understand the litigation process
• Gained insight in how a government agency perform its duties to serve citizens’ welfare
• Develop understanding of court trials, arbitrations, and deposition proceedings",06,2010,08,2010,"Honolulu, HI"
250,Cyber Security Consultant & QSA,Verizon,,01,2018,13,9999,
250,Enterprise Security Architect,Delhaize Group,"Working across the enterprise on modernization projects including hybrid cloud solutions and a mobile payment solution. In addition, developing security standards and reference architectures which follow enterprise strategies.",09,2015,13,9999,"Charlotte, North Carolina Area"
250,PCI & HIPAA Compliance Program Manager,Delhaize Group,"Spear headed the Purchase Card Information-Data Security Standard (PCI-DSS) and the HIPAA program (over 200 requirements/controls) in a very large and complex environment.
Serve as PCI SME (engineering projects, EMV conversion, e-commerce, gift cards)",12,2011,09,2015,"Salisbury, North Carolina"
250,Assistant Editor,Journal of Forensic Document Examination,"- Help sorting and selecting articles sent to the Journal.
- Peer reviewer of technical articles.
- Editing of technical articles from worldwide writers with various backgrounds. The articles mostly address issues on automated assisted tools for identification of forensic han... See more",01,2010,03,2016,Northern California
250,Facilitator,University of Phoenix,"- Develop pedagogic material and organize 4 hour long seminars. Bring classes to focus on most relevant and important points of the topic. Use creative way to deliver material and keep students interested in and outside the classroom.
- Facilitate classes in business, database and infrastructure security, but qualified for more.",11,2010,12,2011,
250,Information Assurance Officer,DMDC,"- Ensure confidentiality, integrity and availability of DMDC data.
- Involved in the planning, analysis, architecture, development and implementation of new systems in Java and .Net as well as the maintenance of legacy systems and sometimes their conversion.... See more",10,2008,12,2011,"Ford Ord, California"
250,Research Assistant,Naval Postgraduate School,- Master’s Thesis: A Preliminary Analysis for Porting XML-Based Chat to MYSEA.,09,2006,06,2008,"Monterey, CA"
250,Center for Cyber Defense Intern,Sandia National Laboratories,"- Developed laboratory sections (lab and questions) to accompany lecture presentations for an educational project which goal is to teach computer forensics to graduate students and professionals on virtual machines.
- Participated in red-teaming exercise dedicated to the hiding of malicious code in ... See more",07,2007,09,2007,"Albuquerque, New Mexico"
250,Algebra Team Leader,University of New Mexico,"- Tutored Algebra, trigonometry, and pre-calculus to students in one-on-one setting as well as for groups (lab setting). Prepared review sessions (up to 50 people) and graphing calculator workshops.
- Wrote supervisory performance reports for team members.",08,2000,06,2002,"Albuquerque, New Mexico"
250,Information Manager,"Concrete Systems, Inc.","- System administrator for a multi-site network (Unix-based IBM RS 6000 Mini/mainframe and PC (Windows)).
- Managed a forklift upgrade of the business solutions system for Y2K compliance.
- Responsible for the specification, configuration and implementation of the new sy... See more",09,1996,08,2000,"Albuquerque, New Mexico"
254,,,,09,1997,13,9999,
254,Planning committee for HOBA Day / volunteer,Hands On Bay Area,"participated in sub-committees that managed logistics, solicited in-kind donations and project developement.",00,2002,00,2005,
254,UI designer/ consultant,Nortel,"design user interaction model for web-based communication and data collobration tool at Nortel, TV/Web convergence authoring tools and end-user website, community-based media website, sales workflow software.",01,1998,00,2001,
254,user interaction designer,apple computer,responsible for user interaction design for software and hardware usability; software/hardware integration. conducted and analyized usability studies.,07,1992,09,1997,
254,program manager intern,Microsoft,program manager for MS word for Mac. design and implemention of widgets for Word for Mac.,06,1992,08,1992,
259,Director Of Engineering,Google,,03,2018,13,9999,"Mountain View, CA"
259,Test Engineering Manager,Google,Test Engineering manager for Android and ChromeOS,00,2002,13,9999,"Mountain View, CA"
259,President,Oakland Dollars for Scholars,,03,2006,08,2016,
261,MTS,Nimble Storage,,07,2015,13,9999,
261,Member of Technical Staff,NetApp,,01,2008,07,2015,
261,Member of Technical Staff,"Mirapoint, Inc",,00,0000,00,0000,
261,QA Manager,Symantec Corp,"• Responsible for the quality assurance of Veritas Process Automation Server and Veritas CommandCentral Service products.

Veritas Process Automation Server provides automation to networked storage envir... See more",00,2001,00,2007,
261,QA Manager,"blue-silicon, Inc","• Responsible for the quality assurance of the blue-silicon’s extended enterprise messaging products. These Windows products enabled users to send and receive e-mail, voice mail and fax messages using any messaging terminals such as an email-client, Web browser, telephone or fax machine.",00,0000,00,0000,
261,Member of Technical Staff,"Geocast Network Systems, Inc",• Served as QA project lead for the Geocast personal server and related backend database. Geocast was building a broadband network that leveraged available digital broadcast bandwidth to deliver customized rich-media content to the user.,00,1999,00,2001,
261,Senior QA Engineer,MarketFirst Software,"• Performed testing of the MarketFirst Interactive Communication Server (ICS) on Windows NT and Solaris platforms. ICS handled marketing automation through the web media and was based on the JRun Java Servlet Engine. Through a thin connector layer, the ICS interfaced with the web server (e.g. Microsoft IIS) to receive Web requests and then served the results.",00,0000,00,0000,
261,Senior QA Engineer,Borland Corporation,"* Served as QA project lead for the Borland Application Sever and CORBA Security Service products.
* Served as the lead tester for the Visigenic JDBC and ODBC driver sets.",00,1994,00,1999,
263,System Admin Sr. Advisor,Dell,,00,2012,00,2014,"Santa Ana, CA"
263,Sr. UNIX Systems Administrator,CoreLogic,,00,2007,00,2012,"Santa Ana, CA"
263,Sr. Infrastructure Management Analyst,Xerox,,00,2001,00,2007,"Costa Mesa, CA"
263,Infrastructure Senior Analyst,Valeant Pharmaceuticals,,00,2001,00,2005,
267,Teacher Assistant,Mills College,I held tutoring hours for those in the introductory Computer Science courses. I also helped to grade students labs.,09,2016,05,2017,
267,Technical Assistant,Mills College Information Technology Services,"I updated, maintained and installed computers and printers in Mills College’s staff offices, as well as in computer labs for students. I also served as technical support for the Mills College community.",03,2013,08,2016,
267,Undergraduate Researcher,Texas A&M University,"I conducted research under Dr. Tracy Hammond at Texas A & M. I worked on Kidgab, a social media platform for children. I analyzed user behavior and wrote multiple narratives. Engagement on the site was low and I was given the task to increase and retain it by creating quizzes and other online experiences. The team I was on also researched response ... See more",06,2015,07,2015,"Bryan/College Station, Texas Area"
270,Lead Software Development Engineer,FICO - Fair Isaac Corporation,"Developed and maintained enterprise application software, inclusive of planning, coding, unit testing, deployment, and documentation while concentrating on quality assurance throughout the developmental lifecycle.",00,2008,00,2014,
270,Software Engineer,FICO - Fair Isaac Corporation,"Supported account management products including Mainframe and midrange systems and PC front end product with IBM Mainframe, UNIX, COBOL, MS SQL Server, MS Access, Visual Basic, and Micro Focus Software for national and international clients.",00,2003,00,2008,
270,Senior Programmer / Analyst,FICO - Fair Isaac Corporation,"Provided comprehensive support to staff and management through the implementation of software and computer programming, inclusive of proprietary architecture utilized for the specific business model. Supervised junior programmers within various projects while providing mentorship and knowledge sharing to encourage team growth.",00,1995,00,2003,
271,Senior User Experience Designer,Ultimate Software,,06,2015,13,9999,
271,Principal,TUX Studio,Web and mobile user experience and information architecture and interaction design services focusing on enterprise B2B product suites.,02,2010,02,2012,"Oakland, CA"
271,Senior Interaction Designer,Ancestry.com,"- Designed, executed, and presented usability testing for Ancestry.com, the world's largest online resource for family history
- Created and iterated mock-ups and design patterns
- Lead creation of site map and user testing tools",11,2008,01,2010,
271,"Product Manager, UI Designer",Navis,"- Created wireframes, use cases, and functional specifications for web and wireless enterprise-level on demand logistics application
- Designed wireless interface for WMS (warehouse management system)
- Wrote style guide",11,2005,09,2007,
271,User Interface Designer,pogo.com,"- Created designs and coded over thirty web features and applications
- Wrote design specification documents for over forty projects
- Acted as liaison between customer service and design departments",11,1999,04,2001,
271,User Interface Design Contractor,Personic Software,"- Designed and ran usability tests
- Redesigned software products according to usability test results
- Researched competitor products",05,1999,11,1999,
272,Faculty,Balanced Body,,01,2016,13,9999,
272,Faculty,Balanced Body,Balanced Body MOTR (TM) Faculty Member,05,2014,13,9999,
272,Faculty,Balanced Body,,05,2014,13,9999,
272,Consultant,Spin Dance Studio,,05,2015,13,9999,
272,Consultant,Spin Dance Studio,"Start up of a totally new studio focusing on fun-filled group fitness classes for the entire family: yoga, Pilates, Zumba, Kids' gymnastics, Tae Kwon Do, Aikido and more.
Managing the studio, teachers, marketing, customer relations, vendor relations and more.
Also teaching all Pilates classes at the studio.",05,2015,09,2015,"Neelankarai, Chennai, India"
272,Owner,The Body Praxis,"Just a new name, same excellent service and lasting results as at The Gift of Touch.",09,2010,13,9999,
272,Owner,The Gift of Touch,,04,2006,09,2010,
279,Big Data Analytics & Machine Learning,NASA Langley Research Center,,06,2014,13,9999,
279,Teaching Assistant,Mills College,,01,2013,12,2014,"Oakland, CA"
279,Instructor,Peking University,,00,2009,00,2011,
279,Business Analyst,Steve & Barry's,,03,2006,11,2008,
280,Senior Software Engineer in Test,Perforce Software,"- Perforce Server. Worked with development to create test plans and test cases for various features. Added automated tests based on the test cases to the server regression suite.
- Created CI builds in Jenkins for running server tests.
- Helix Sync. Test automation, wrote util functions to streamline test creation.
- P4Combined project, added test cases using gtest.
- Verified i18n support for Perforce Server and client products.
- Perforce Visual Client. Tested the GUI functionality.",07,2007,13,9999,
280,Software Engineer,Avanquest USA,"- Managed FIGS localization of PC utilities product line.
- Prepared translation kit and coordinated translation schedule with translation team and development.
- Reviewed translated resources and language builds.... See more",00,2005,00,2007,
280,"Sr. Development Manager, i18n",Oracle Corporation,"- Coordinated with central QA and overseas test centers on Oracle EBusiness Suite i18n installation and testing.
- Managed development of in-house tools for product translatability verification.
- Automated user setup in Oracle EBusiness Suite demo database for in-house pse... See more",05,2002,01,2005,
280,"Development Manager, CRM Operations",Oracle Corporation,"- Coordinated translation projects for CRM products. Worked closely with development teams during the software development cycle including code design, implementation, integration testing and release, to ensure products adhere to internationalization standards.
- Coordinated translation schedule with Applications Integration group and Worldwi... See more",12,1998,05,2002,
280,"Senior Technical Staff, Compaq Products Division",Oracle Corporation,"Oracle System Sizer
- Technical Lead for System Sizer development.
- Maintained development schedules and coordinated with Compaq development and test engineers.... See more",01,1995,12,1998,
280,"Software Engineer, DEC Products Division",Oracle Corporation,"- Project Lead for porting Oracle Applications to the Digital UNIX and VMS platforms.
- Created and maintained project plans, weekly status reports and communicated activities at joint development and marketing meetings.
- Supervised and trained new employees on the porting and maintenance processe... See more",09,1990,12,1994,
284,Software Engineer,Splunk,,06,2014,13,9999,San Francisco Bay Area
284,Software Engineering Intern,Google Summer of Code - Python Software Foundation,Django developer for an open source tool to help open source communities improve retention,06,2013,09,2013,San Francisco Bay Area
284,Spacecraft Command and Control Systems Intern,NASA,Java developer for an internal tool for auto-generating launch control displays,08,2012,12,2012,"Cape Canaveral, Florida"
284,Teaching Assistant,Mills College,"Teaching Assistant for Introduction to Computer Science, Calculus I, and Theory of Computation",09,2010,06,2012,"Oakland, CA"
284,Software Engineering Intern,Equipster,Django developer for an e-commerce platform,06,2011,08,2011,San Francisco Bay Area
287,Managing Partner,Savoir Beds,"Managing Director for Savoir Beds Soho flagship location. Fine, luxury, bespoke handmade all natural beds from London, England.",09,2010,13,9999,28 Wooster Street New York City 10013
287,Managing Director,Savoir Beds,,09,2010,13,9999,
287,Sales,Hastens Beds,Sales and Marketing Luxury brand,00,2006,00,2010,
290,Operations/IT Manager,Ann Martin Center,,07,2017,13,9999,"Emeryville, CA"
290,Technical Specialist,Alameda County Behavioral Health Care Services,,10,2016,13,9999,"Oakland, CA"
290,Systems and Quality Manager,O.N. Diagnostics,O.N. Diagnostics is dedicated to improving patient outcomes by developing non-invasive and clinically effective applications that quantitatively exploit the richness of information in CT scans.,07,2011,13,9999,"Berkeley, CA"
290,Systems Administrator II,UC Berkeley,"IT, Java Development, Project Management, Research.",03,2006,07,2011,
290,QA Manager,Dantz Development,,00,1991,03,2001,
292,Manager,PayPal,,10,2009,13,9999,"Chennai Area, India"
292,Director Market Intelligence,Optimal Technologies,,09,2006,02,2009,San Francisco Bay Area
292,Senior Research Analyst,Penwell corporation,,04,2001,09,2002,
292,Business Consultant,Deloitte,,04,1998,03,2000,
295,Senior Director of User Experience,athenahealth,Merger between Virence and athenahealth. Direct the technical writer team and user experience teams that support the financial management and ambulatory care businesses.,02,2019,13,9999,Greater Seattle Area
295,Director User Experience,Virence Health,Acquisition of GE Healthcare's Value Based Care Solutions Division by Veritas Capital. Drive development of new style guide and shared component library based on new company brand. Work closely with executive leadership in the financial and ambulatory care businesses to spearhead UX initiatives that add value to the business and our customers. Mentor ... See more,07,2018,02,2019,Greater Seattle Area
295,Director User Experience,GE Healthcare,"Manage the integration of UX across products for the Value Based Care Solutions Division. Build and empower UX team. Establish protocols for user research, usability testing, and style guide development. Focus on adding value to the business through UX by streamlining activities, collaborating with other disciplines and creating strong and impactful cus... See more",05,2017,07,2018,"Seattle, Washington"
295,Senior Manager User Experience,GE Healthcare,"Promoted within the Value Based Care organization after only 6 months to build a forward-thinking user experience team to bring to life state-of-the-art software that supports clinic workflows. Hired designers, mentored them and provided an environment for them to create their best work. Worked closely with product managers and development te... See more",11,2015,04,2017,Seattle
295,Senior Staff User Experience Designer,GE Healthcare,"Value Based Care is a business delivering Electronic Medical Record software to medical clinics. Led the conceptual design for a re-imagined, integrated, end -to -end platform that streamlines workflows across the clinic organization by using rules engines and modern interactive techniques. Worked closely with product management and end users to ... See more",06,2015,11,2015,Greater Seattle Area
295,Principal Interaction Design Leader,"FUJIFILM SonoSite, Inc.",Fujifilm Sonosite is a leader in point of care ultrasound products. Managed interaction design team and deliverables. Architected new ultrasound devices from concept to delivery. Mined user insights through field research at clinics and hospitals as well as through relationship building with key professionals in global health and the military. Aligned progressive... See more,02,2012,06,2015,Greater Seattle Area
295,Senior Interaction Design Leader,The Active Network,"The Active Network is a leader in organization-based cloud computing web applications that manage event promotion and registration. Worked closely with user research, business analysts, and end users to define requirements, develop personas, establish concepts and work the design through an Agile Development model for government service products. ... See more",04,2010,03,2012,"Seattle, WA"
295,Senior User Experience Leader,"Anthro-Tech, Inc.","Anthro-Tech is a user experience consultancy specializing in social impact projects. Worked extensively with Washington State agencies to overhaul the state's online environmental permitting process, a key initiative for Governor Gregoire in 2009. This involved extensive user research, design strategy and interaction design to develop a solution that met diff... See more",09,2009,04,2010,"Olympia, WA"
295,User Experience Design Lead,AMI Insurance Company,"AMI is the largest insurance company in Australasia. Taught the engineering team unfamiliar with user-centered methods how to apply these tools. Mentored and managed the team through the research, design and implementation of a complex next generation customer support software system. The successful design experience resulted in a company... See more",00,2008,00,2010,"Christchurch, New Zealand"
295,Adjunct Fellow,HIT Lab NZ,Sister program to the HIT Lab at the University of Washington. Coached and mentored graduate students to incorporate user centered methods in their research projects. Developed an interaction design curriculum for a master's degree and designed and led user centered design workshops for academia and industry. Also introduced user-centered metho... See more,00,2006,00,2009,"University of Canterbury, Christchurch, New Zealand"
